London,Stockholm,LDN-SKM-0,Delta Air Lines,135,4304.3975,3375.7234
Phuket,London,RKT-LDN-0,EasyJet,73,2920.977,3589.2356
Dubai,Stockholm,DBI-SKM-0,Virgin,117,2707.0059,2014.5911
Costa Rica,Berlin,CRA-BLN-0,Frontier Airlines,161,856.0619,581.3766
Santorini,Maldives,STI-MLD-0,BlueJet,102,4026.7996,3328.2312
Santorini,Rio de Janeiro,STI-RDJ-0,Delta Air Lines,158,1504.3912,1619.2301
Rio de Janeiro,Stockholm,RDJ-SKM-0,British Airways,135,2571.2278,3102.9617
Paris,Santorini,PRI-STI-0,Ryanair,86,4352.831,799.28394
London,Stockholm,LDN-SKM-1,EasyJet,155,2577.54,3306.6467
Santorini,Stockholm,STI-SKM-0,EasyJet,111,2217.6372,2125.0537
Maldives,Tahiti,MLD-THI-0,BlueJet,105,4255.7617,3231.2927
Phuket,Rio de Janeiro,RKT-RDJ-0,United Airlines,68,2665.3286,916.88464
Dubai,Maldives,DBI-MLD-0,United Airlines,86,2235.3813,2397.5195
Rio de Janeiro,Phuket,RDJ-RKT-0,Ryanair,108,1016.4368,2612.5537
Rio de Janeiro,Berlin,RDJ-BLN-0,BlueJet,112,2905.215,1266.1875
Dubai,Stockholm,DBI-SKM-1,Frontier Airlines,120,2073.9824,2618.9531
London,Santorini,LDN-STI-0,Ryanair,161,2197.936,3572.6982
Tahiti,Phuket,THI-RKT-0,Frontier Airlines,117,3717.4062,1594.139
Dubai,Stockholm,DBI-SKM-2,EasyJet,79,2094.0645,2558.3174
Edinburgh,Tahiti,EDN-THI-0,Ryanair,76,2499.2559,1499.1263
Phuket,Rio de Janeiro,RKT-RDJ-1,United Airlines,134,2047.4648,3148.0261
Berlin,Maldives,BLN-MLD-0,British Airways,171,3110.7512,1865.9398
Tahiti,Stockholm,THI-SKM-0,Delta Air Lines,94,4804.2637,1108.0159
Dubai,Phuket,DBI-RKT-0,United Airlines,137,3636.9778,3452.6794
Dubai,Tahiti,DBI-THI-0,Frontier Airlines,186,4332.565,1522.6519
Santorini,Stockholm,STI-SKM-1,British Airways,128,3183.6497,1237.3484
Phuket,Stockholm,RKT-SKM-0,BlueJet,75,2195.3372,3694.902
Paris,Edinburgh,PRI-EDN-0,United Airlines,92,3053.014,3248.7913
Edinburgh,Paris,EDN-PRI-0,BlueJet,198,1412.6117,2686.6006
Paris,Costa Rica,PRI-CRA-0,United Airlines,163,3343.035,2287.064
Santorini,Tahiti,STI-THI-0,Ryanair,125,1261.3745,3563.8962
Santorini,Tahiti,STI-THI-1,EasyJet,120,911.23706,1332.5518
Tahiti,Dubai,THI-DBI-0,Ryanair,135,2948.2537,3156.3909
Phuket,Maldives,RKT-MLD-0,Frontier Airlines,59,4499.6743,865.8546
Santorini,Rio de Janeiro,STI-RDJ-1,Frontier Airlines,84,1154.8713,594.1059
Berlin,Paris,BLN-PRI-0,British Airways,179,4545.6865,2202.0723
Stockholm,Berlin,SKM-BLN-0,EasyJet,138,1327.4551,2796.2307
London,Dubai,LDN-DBI-0,Delta Air Lines,54,4768.7065,1341.3352
London,Paris,LDN-PRI-0,Virgin,158,3915.3604,3462.7524
London,Rio de Janeiro,LDN-RDJ-0,United Airlines,92,3123.162,2861.652
Rio de Janeiro,Phuket,RDJ-RKT-1,Frontier Airlines,165,2912.4805,3659.1807
London,Edinburgh,LDN-EDN-0,Virgin,178,1287.2539,3017.4197
Paris,Maldives,PRI-MLD-0,Delta Air Lines,58,1423.3403,1372.7303
Costa Rica,Stockholm,CRA-SKM-0,Ryanair,154,4799.841,954.3401
Maldives,London,MLD-LDN-0,British Airways,126,4994.1704,3348.451
